ID,Name,Concepticon_ID,Concepticon_Gloss
1_eye,eye,1248,EYE
2_eyebrow,eyebrow,1173,EYEBROW
3_ear,ear,1247,EAR
4_mouth,mouth,674,MOUTH
5_jawbone,jawbone,798,JAW
6_nose,nose,1221,NOSE
7_chin,chin,1510,CHIN
8_beard,beard,678,BEARD
9_tooth,tooth,1380,TOOTH
10_tongue,tongue,1205,TONGUE
11_head,head,1256,HEAD
12_hairhuman,hair (human),1040,HAIR
13_neck,neck,1333,NECK
14_belly,belly,1251,BELLY
15_back,back,1291,BACK
16_backbone,backbone,805,SPINE
17_knee,knee,1371,KNEE
18_leg,leg,1297,LEG
19_foot,foot,1301,FOOT
20_arm,arm,1673,ARM
21_hand,hand,1277,HAND
22_fingernail,fingernail,1258,FINGERNAIL
23_finger,finger,1303,FINGER
24_armpit,armpit,1886,ARMPIT
25_skinhuman,skin (human),2613,SKIN (HUMAN)
26_skinanimal,skin (animal),2614,SKIN (ANIMAL)
27_bone,bone,1394,BONE
28_blood,blood,946,BLOOD
29_heart,heart,1223,HEART
30_lung,lung,688,LUNG
31_liver,liver,1224,LIVER
32_voice,voice,1363,VOICE
33_hornofanimal,horn (of animal),1393,HORN (ANATOMY)
34_wingofbird,wing (of bird),1257,WING
35_feathers,feathers,1201,FEATHER
36_tailofmammal,tail (of mammal),1220,TAIL
37_egg,egg,744,EGG
38_honey,honey,942,HONEY
39_milkofcow,milk (of cow),635,MILK
40_meat,meat,634,MEAT
41_person,person,683,PERSON
42_man,man,1554,MAN
43_husband,husband,1200,HUSBAND
44_woman,woman,962,WOMAN
45_wife,wife,1199,WIFE
46_father,father,1217,FATHER
47_mother,mother,1216,MOTHER
48_brotheroldersamesex,"brother (older, same sex)",1759,OLDER BROTHER
49_mothersbrother,mother's brother,1984,MOTHER'S BROTHER
50_child,child,2099,CHILD
51_sonboy,son/boy,2391,BOY OR SON
52_daughtergirl,daughter/girl,2392,DAUGHTER OR GIRL
53_twins,twins,1005,TWINS
54_chief,chief,301,CHIEFTAIN
55_god,God,1944,GOD
56_sickness,sickness,1986,DISEASE
57_sore,sore,51,SORE
58_medicine,medicine,1372,MEDICINE
59_bodyhuman,body (human),1480,BODY
60_name,name,1405,NAME
61_wildanimal,wild animal,958,WILD ANIMAL
62_dog,dog,2009,DOG
63_cat,cat,1208,CAT
64_elephant,elephant,1290,ELEPHANT
65_lion,lion,1386,LION
66_bat,bat,1793,BAT
67_butterfly,butterfly,1791,BUTTERFLY
68_goat,goat,1502,GOAT
69_cow,cow,1007,COW
70_bull,bull,1008,BULL
71_calf,calf,1989,CALF
72_chicken,chicken,1318,CHICKEN
73_cockroooster,cock/roooster,1878,COCK
74_bird,bird,937,BIRD
75_snake,snake,730,SNAKE
76_fish,fish,227,FISH
77_bee,bee,665,BEE
78_headlouse,head louse,310,HEAD LOUSE
79_tree,tree,906,TREE
80_barkoftree,bark (of tree),1204,BARK
81_leaf,leaf,628,LEAF
82_branchoftree,branch (of tree),1531,BRANCH
83_shadeoftree,shade (of tree),1388,SHADE
84_walkingstick,walking stick,1296,WALKING STICK
85_rootoftree,root (of tree),670,ROOT
86_seed,seed,714,SEED
87_grass,grass,606,GRASS
88_flowers,flowers,239,FLOWER
