Grapheme	IPA
^	NULL
$	NULL
i	i
a$	a
u	u
l	l
g	g
a	a
^l	l
m	m
i$	i
aː	aː
n	n
d	d
^m	m
h	h
o$	o
iː	iː
e$	e
ŋ	ŋ
o	o
t	t
^iː	iː
k	k
u$	u
eː	eː
uː	uː
b	b
^i	i
e	e
s	s
^k	k
oː	oː
f	f
p	p
ts	ts
^h	h
j	j
ʋ	ʋ
w	w
^ŋ	ŋ
^n	n
^a	a
^f	f
ɲ	ɲ
^ʃ	ʃ
^w	w
_	_
ns	n s
^s	s
dʒ	dʒ
v	v
^mw	m w
hw	hʷ
mw	m w
^ɲ	ɲ
^j	j
bw	b w
ç	ç
^ç	ç
z	z
fw	f w
tʃ	tʃ
^mm	mː
ɖ	ɖ
^u	u
kw	k w
^d	d
x	x
^b	b
^ɖ	ɖ
gw	g w
lw	l w
^lw	l w
kʰ	kʰ
^p	p
ʃ	ʃ
6$	ɐ
^hw	hʷ
tw	t w
dw	d w
^g	g
^fw	f w
^tʃ	tʃ
6	ɐ
^ʋ	ʋ
^v	v
^kw	kw
ɪː	ɪː
^kʰ	kʰ
ɑ	ɑ
ɑː	ɑː
ɲw	ɲ w
tʰ	tʰ
r	r
mm	mː
kh	kʰ
ɲ$	ɲ
^ms	ms
^r	r
ɔ	ɔ
^aː	aː
I	i
^gw	g w
pw	p w
ds	ts
y	y
H	h
ɔ$	ɔ
pʰ	pʰ
K	k
^ns	n s
^sw	s w
ɔː	ɔː
^kʲuma	kʲ u m a
^e	e
kʷ	kʷ
ŋw	ŋ w
